date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:09	26543/26543	---M--	200	added ('OK')	image/jpeg	etag:%2267af-595f4f6291680%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/3-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/3-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:36:10	72931/72931	---M--	200	added ('OK')	image/jpeg	etag:%2211ce3-595f4f684a400%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/4-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/4-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:36:10	50815/50815	---M--	200	added ('OK')	image/jpeg	etag:%22c67f-595f4f6e03180%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/6-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/6-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:36:10	49656/49656	---M--	200	added ('OK')	image/jpeg	etag:%22c1f8-595f4f71d3a80%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/7-2.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/7-2.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:36:11	83309/83309	---M--	200	added ('OK')	image/jpeg	etag:%221456d-595f4f778c800%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/8-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/8-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:36:11	24507645/24507645	---M--	200	added ('OK')	video/mp4	etag:%22175f4fd-595efaa462780%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/maxon-cinema-4d-fmx-2019-compilation.mp4	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/maxon-cinema-4d-fmx-2019-compilation.mp4	(from https://www.monsterlab.vn/portfolio-posts/2d-design-motion-expert/)
15:36:12	44151/44151	---M--	200	added ('OK')	image/jpeg	etag:%22ac77-595f4f7b5d100%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/10.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/10.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:36:12	46035/46035	---M--	200	added ('OK')	image/jpeg	etag:%22b3d3-595f4f84e6780%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/12-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/12-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:36:54	26322831/26322831	---M--	200	added ('OK')	video/mp4	etag:%22191a78f-59604773bda00%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/hinh-hoa.mp4	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/hinh-hoa.mp4	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:36:55	33134/33134	---M--	200	added ('OK')	image/jpeg	etag:%22816e-595f4f8a9f500%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/13-2.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/13-2.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:36:55	68488/68488	---M--	200	added ('OK')	image/jpeg	etag:%2210b88-595f4f8e6fe00%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/15-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/15-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:37:03	31384995/31384995	---M--	200	added ('OK')	video/mp4	etag:%221dee5a3-59604a5f6be00%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/anatomy-nang-cao.mp4	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/anatomy-nang-cao.mp4	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:37:04	62421/62421	---M--	200	added ('OK')	image/jpeg	etag:%22f3d5-595f4f9428b80%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/17-1.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/17-1.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:37:04	52205/52205	---M--	200	added ('OK')	image/jpeg	etag:%22cbed-595f4f97f9480%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/18.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/18.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:37:05	55134/55134	---M--	200	added ('OK')	image/jpeg	etag:%22d75e-59630715bee00%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/file.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/file.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:37:05	67533/67533	---M--	200	added ('OK')	image/jpeg	etag:%22107cd-595f4fa36af80%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/20l.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/20l.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:37:12	36474260/36474260	---M--	200	added ('OK')	video/mp4	etag:%2222c8d94-5967d20079700%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/lich-su-my-thuat.mp4	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/lich-su-my-thuat.mp4	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:37:49	40558207/40558207	---M--	200	added ('OK')	video/mp4	etag:%2226ade7f-5967d25465d00%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/trainning-wacom-2.mp4	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/trainning-wacom-2.mp4	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:37:50	34961/34961	---M--	200	added ('OK')	image/jpeg	etag:%228891-595f4fa73b880%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/23-2.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/23-2.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:37:50	65781/65781	---M--	200	added ('OK')	image/jpeg	etag:%22100f5-595f4facf4600%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/25.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/25.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
15:37:50	40884/40884	---M--	200	added ('OK')	image/jpeg	etag:%229fb4-595f4fb2ad380%22	https://www.monsterlab.vn/wp-content/uploads/2018/02/26.jpg	C:/Users/localadmin/Documents/My%20Websites/www.monsterlab.vn/www.monsterlab.vn/wp-content/uploads/2018/02/26.jpg	(from https://www.monsterlab.vn/portfolio-posts/digital-artist-expert/)
